player_id,link,name,position,career_begin,career_end,active,scraped
13044,/players/J/JoneMa23.htm,Marvin Jones,LB,1993,2003,False,True
13045,/players/J/JoneMa02.htm,Marvin Jones,WR,2012,2023,True,True
13046,/players/J/JoneMa00.htm,Matt Jones,WR,2005,2008,False,True
13047,/players/J/JoneMa04.htm,Matt Jones,RB,2015,2017,False,True
13048,/players/J/JoneMe20.htm,Melvin Jones,G,1981,1981,False,True
13049,/players/J/JoneMi20.htm,Mike Jones,LB,1977,1977,False,True
13050,/players/J/JoneMi00.htm,Mike Jones,WR,1983,1989,False,True
13051,/players/J/JoneMi22.htm,Mike Jones,LB,1987,1987,False,True
13052,/players/J/JoneMi01.htm,Mike Jones,TE,1990,1992,False,True
13053,/players/J/JoneMi23.htm,Mike Jones,DE,1991,1999,False,True
13054,/players/J/JoneMi21.htm,Mike Jones,LB,1991,2002,False,True
13055,/players/J/JoneNa01.htm,Naquan Jones,DT,2021,2024,True,True
13056,/players/J/JoneNa20.htm,Nate Jones,DB,2004,2011,False,True
13057,/players/J/JoneNa21.htm,Nate Jones,WR,2009,2009,False,True
13058,/players/J/JoneNa00.htm,Nazair Jones,DT,2017,2018,False,True
13059,/players/J/JoneNi00.htm,Nic Jones,CB,2023,2024,True,True
13060,/players/J/JoneOn20.htm,Onrea Jones,WR,2010,2010,False,True
13061,/players/J/JonePa00.htm,Patrick Jones II,DL,2021,2024,True,True
13062,/players/J/JonePo20.htm,Potsy Jones,G,1930,1938,False,True
13063,/players/J/JoneQu20.htm,Quintin Jones,DB,1988,1990,False,True
13064,/players/J/JoneRa20.htm,Ralph Jones,TB,1921,1921,False,True
13065,/players/J/JoneRa21.htm,Ralph Jones,E-DE,1946,1947,False,True
13066,/players/J/JoneRa22.htm,Ray Jones,DB,1970,1973,False,True
13067,/players/J/JoneRe20.htm,Reggie Jones,DB,1991,1994,False,True
13068,/players/J/JoneRe00.htm,Reggie Jones,WR,1995,2001,False,True
13069,/players/J/JoneRe21.htm,Reno Jones,G,1922,1922,False,True
13070,/players/J/JoneRe99.htm,Reshad Jones,DB,2010,2019,False,True
13071,/players/J/JoneRi20.htm,Richard Jones,DB,1996,1996,False,True
13072,/players/J/JoneRi21.htm,Ricky Jones,OLB-DB,1977,1983,False,True
13073,/players/J/JoneRo20.htm,Robbie Jones,OLB,1984,1987,False,True
13074,/players/J/JoneRo21.htm,Robert Jones,LB,1992,2001,False,True
13075,/players/J/JoneRo02.htm,Robert Jones,T,2021,2024,True,True
13076,/players/J/JoneRo22.htm,Rod Jones,DB,1986,1996,False,True
13077,/players/J/JoneRo00.htm,Rod Jones,TE,1987,1989,False,True
13078,/players/J/JoneRo23.htm,Rod Jones,T,1996,2001,False,True
13079,/players/J/JoneRo24.htm,Roger Jones,DB,1991,1997,False,True
13080,/players/J/JoneRo25.htm,Ron Jones,TE,1969,1969,False,True
13081,/players/J/JoneRo01.htm,Ronald Jones II,RB,2018,2022,False,True
13082,/players/J/JoneRo26.htm,Rondell Jones,DB,1993,1997,False,True
13083,/players/J/JoneRu00.htm,Rulon Jones,DE,1980,1988,False,True
13084,/players/J/JoneRu20.htm,Rushen Jones,DB,2003,2004,False,True
13085,/players/J/JoneSa00.htm,Sam Jones,OG,2018,2018,False,True
13086,/players/J/JoneSc20.htm,Scott Jones,T,1989,1991,False,True
13087,/players/J/JoneSe00.htm,Sean Jones,DE,1984,1996,False,True
13088,/players/J/JoneSe20.htm,Sean Jones,DB,2005,2011,False,True
13089,/players/J/JoneSe01.htm,Seantavius Jones,WR,2015,2015,False,True
13090,/players/J/JoneSe21.htm,Selwyn Jones,DB,1993,1996,False,True
13091,/players/J/JoneSh20.htm,Shawn Jones,DB,1993,1993,False,True
13092,/players/J/JoneSi00.htm,Sidney Jones,CB,2017,2023,True,True
13093,/players/J/JoneSp20.htm,Spike Jones,P,1970,1977,False,True
13094,/players/J/JoneSt01.htm,Stan Jones,G-DT-T,1954,1966,False,True
13095,/players/J/JoneSt00.htm,Steve Jones,RB,1973,1978,False,True
13096,/players/J/JoneT.00.htm,T.J. Jones,WR,2015,2019,False,True
13097,/players/J/JoneTa00.htm,Taiwan Jones,RB,2011,2023,True,True
13098,/players/J/JoneTa01.htm,Taiwan Jones,ILB,2016,2016,False,True
